geo,date,yoy_official,sum_contrib,C_CP01,C_CP02,C_CP03,C_CP04,C_CP05,C_CP06,C_CP07,C_CP08,C_CP09,C_CP10,C_CP11,C_CP12,diff
EA,1998-01-01,1.0770505385252704,1.0593138219659857,0.07598311271998223,0.06143061658943885,-0.019897722895728467,0.3041046244907418,0.05562828412918303,0.016045614976488896,0.25578242951996016,0.021977540677654103,0.09433674365617696,0.011246140105016803,0.14460017950880963,0.03807625848826167,-0.01773671655928477
EA,1998-02-01,1.1158561785370003,1.1001015614378882,0.1175042363668421,0.062080193931187334,-0.012435207941286297,0.3034595774845487,0.05954755309143457,0.013792601557938117,0.26706830317461616,0.02121773287139459,0.08632568763136432,0.010792049729125178,0.13463586195354224,0.036112971587181165,-0.015754617099112078
EA,1998-03-01,1.1149346180316488,1.1179686823269466,0.18203684653272528,0.056761232016260176,0.01276518949359975,0.32324064262213437,0.057445825384670725,0.013239012238544753,0.21142358417793783,0.005259813137703975,0.07168911258228351,0.010844716607853454,0.13720263455528003,0.036060072977952794,0.0030340642952977337
EA,1998-04-01,1.3911845730027572,1.3559155287338152,0.22273434559982752,0.0567744342964698,0.02760244079311918,0.36144713754240193,0.0768186019171125,0.014663556101110987,0.2648544639939455,0.011158045369010907,0.10639972649634738,0.010545960652210525,0.1641019360779084,0.038814879894350646,-0.03526904426894206
EA,1998-05-01,1.3186813186813362,1.2748514032855152,0.18529483020571866,0.09842236606893069,0.03651982903462648,0.3303848484925465,0.07659319469003542,0.014817851665752113,0.2618343975986859,0.0035837769048395274,0.07374570742947816,0.010334731857461508,0.15012820518653108,0.03319166415090906,-0.04382991539582104
EA,1998-06-01,1.3318687354112235,1.3186239565282702,0.19789755430448114,0.09331425792602208,0.04872300689031677,0.31767206306768336,0.08264923840304869,0.01538906555408563,0.2616537499053944,0.0054076478829718794,0.08935975792060062,0.010391570575208477,0.15933912518717894,0.036826918911278206,-0.013244778882953279
EA,1998-07-01,1.27572016460904,1.242032015891675,0.15442542421128516,0.09822934435786768,0.02078476648005222,0.27995731487019715,0.08156016518693555,0.018533340872677943,0.2779609073788776,0.010127791594373724,0.10382592063365444,0.009894621435597847,0.14812326017331956,0.03860915869683603,-0.03368814871736503
EA,1998-08-01,1.1366748835935248,1.080572042846915,0.13683159775366097,0.10056936524464452,0.02129839634969623,0.2370246205103516,0.08546615324770068,0.018386360850572,0.1493930096573884,0.019082648558425664,0.10477973043302924,0.00981940964955624,0.1612151638696484,0.03670558672224102,-0.05610284074660976
EA,1998-09-01,0.9853565074586124,0.9671262696170925,0.05483027610397558,0.0811686918864781,0.025308100409802827,0.2493811406966951,0.09046270209668154,0.011389571453096582,0.1328918286870537,0.005893042482155218,0.10912898581208132,0.00999956496515463,0.15999699305063161,0.03667537197328619,-0.018230237841519892
EA,1998-10-01,0.930359830346128,0.9031580312290128,-0.0038148934058939827,0.08779776693643289,0.026043417197181704,0.19956850417927247,0.09548639263409701,0.012298631634443329,0.12350446764723289,0.02126638945329787,0.14244726705936564,0.010484517581966802,0.15324859393253829,0.03482697637907789,-0.027201799117115177
EA,1998-11-01,0.8062312107133041,0.7690070957842214,-0.06052907868919187,0.09435215819439725,0.03285208324793431,0.1669032651070606,0.09232932542532514,0.010613949185301534,0.132305698885385,0.01685774476567238,0.08782317095385919,0.010111314887814382,0.14243250002834723,0.04295496379231639,-0.03722411492908262
EA,1998-12-01,0.7507507507507505,0.7130111623208321,-0.03790284911215905,0.08924337376019635,0.025982983387141837,0.16416720936309334,0.08919478296399456,0.01079776563409023,0.09069800290967166,0.020086717935707696,0.06555344610008983,0.010100383276116605,0.14218383157740774,0.042905514525481164,-0.037739588429918425
EA,1999-01-01,0.7650273224043769,0.7633923730088458,-0.20674326112896557,0.015428138081840218,-0.22000057466932949,0.3232054781878118,0.24164698675312912,0.08891308145477231,0.4059567656229512,0.16270859461839143,0.06100416275478587,-0.0027119647947565677,-0.11914174451143691,0.013126710639652383,-0.0016349493955311045
EA,1999-02-01,0.7356948228882665,0.7761424811971269,-0.17065570776631983,0.015205475634952071,-0.23283952884317205,0.31995393455148396,0.24134831336956433,0.0889586785019924,0.394054908464745,0.15780170693432133,0.056469270187783534,-0.0004720960525696965,-0.10842011891989428,0.014737645134240213,0.040447658308860435
EA,1999-03-01,0.9392866866321903,0.9222847976114836,-0.14562659753641916,-0.004856594496114776,-0.2380827744781901,0.3678633684797646,0.2413565993023783,0.08830507364590848,0.45902583533873564,0.17946738448912294,0.06305018038446727,-0.0006550787810053845,-0.10846522080851911,0.020902622071354834,-0.01700188902070665
EA,1999-04-01,1.073223746773544,1.082272640132454,-0.20173523909440572,-0.0033275127612622736,-0.2435852057871878,0.4617474083466898,0.22390185357058995,0.08647777949826198,0.6239431588454405,0.16226487036698936,0.06616450920943144,-0.0004723987222519418,-0.11209431021830102,0.018987726878459663,0.009048893358910126
EA,1999-05-01,0.9354663774403527,0.9388674167088625,-0.2796942613706966,-0.04222929227623603,-0.23948801371786793,0.45566436581799047,0.22567175944319218,0.08813496775744656,0.6203250174779202,0.16010137588268225,0.031850077120603525,-0.0010697541835440016,-0.1045990991241562,0.024200273881528095,0.0034010392685098756
EA,1999-06-01,0.880758807588089,0.8909155290752566,-0.3865372608379784,-0.04144876679716891,-0.23851688198669352,0.47294400992304203,0.22361507250929077,0.08588268125196084,0.6925888670384043,0.1437538974334174,0.03185339134476487,-0.0011294671320791483,-0.11445754549812204,0.022367531826418447,0.01015672148716762
EA,1999-07-01,1.0158472165786359,1.018947684052123,-0.4521376588419381,-0.03597349529318448,-0.23293527157125082,0.536141126518638,0.219384527372723,0.08520048570020439,0.7664442815370992,0.13578005230595994,0.07491625804041968,-0.0009597154929463946,-0.10368462505083331,0.02677171882723202,0.003100467473487134
EA,1999-08-01,1.1103588354773208,1.117231549155956,-0.47781853469114216,-0.033625059688683435,-0.2208165523200788,0.5863962009197373,0.21949538671338972,0.08435081558869417,0.878551389939567,0.12428278620994465,0.025303946805781255,-0.0016906995600104138,-0.0965754154759142,0.02937728471467063,0.006872713678635067
EA,1999-09-01,1.2467814066946525,1.1976390580133252,-0.4403003673714278,-0.034522433787289086,-0.25299800526269717,0.6223987615846797,0.2126470272502441,0.08489853098596808,0.9486497551504762,0.12580823436254435,0.01314821177967982,-0.002052816100577959,-0.11298303373925486,0.03294519316097961,-0.049142348681327386
EA,1999-10-01,1.3148976548732483,1.3090153957320954,-0.3600908222132311,-0.01147307797202374,-0.2599506826761576,0.5697535901181208,0.2067628377725158,0.0834874742951127,1.0305561608748526,0.12972655969467567,-0.0133660031943106,-0.0020764155574162814,-0.10790329664305492,0.04358907123301189,-0.0058822591411529235
EA,1999-11-01,1.4504541141385552,1.4515204517535556,-0.33833865793956336,-0.013236080368765116,-0.25780773894218745,0.6151502649129248,0.2037919173555613,0.08495147482868501,1.0418620382986687,0.12365864224941013,0.045111648521219856,-0.00037388209579309733,-0.10477136905844968,0.05152219399184411,0.0010663376150004122
EA,1999-12-01,1.7341823601138007,1.7463104486443217,-0.3367864373499984,-0.004334715364392987,-0.2598098070860337,0.695535041934681,0.20373258554635454,0.08595512198161785,1.2161831097420468,0.1228609597847777,0.06386816435105593,-0.00043396406958253386,-0.09639706396912545,0.05593745314292097,0.012128088530521053
EA,2000-01-01,1.8573752711496638,1.8454983298421168,-1.8374139581628666,-0.26354663544092477,-0.6608438324725424,0.11721798206524826,-0.10245703665769133,2.4586622291943314,-0.010877267488270628,0.5008661570771692,-0.06450762772720353,0.5587318963473594,0.43731578269123084,0.7123506404162767,-0.011876941307547018
EA,2000-02-01,1.934000540979186,1.9058066650444734,-1.7906643860681966,-0.2634403650468912,-0.6699719701666168,0.17342873289120322,-0.10361878645387293,2.4577963168449086,0.032295597671883204,0.4531289928384531,-0.10194070440400266,0.5572627786017117,0.4505533191681928,0.7109771391677008,-0.028193875934712676
EA,2000-03-01,1.9554956169925752,1.945264323451445,-1.834657748906916,-0.26608948897842327,-0.6483252429285994,0.19896155130836068,-0.09461722991961197,2.453117635100698,0.15222799793175873,0.4036972260077246,-0.1322214391846245,0.5564737069883218,0.4493807209815969,0.7073166350511593,-0.01023129354113017
EA,2000-04-01,1.7069892473118298,1.6910111123463087,-1.7683036954348659,-0.27289013176923466,-0.6424164440772921,0.05535348195570108,-0.09045511335246902,2.453976364104047,-0.11057314347309452,0.37355669127204505,-0.016943079158634095,0.5547446145801092,0.45140054831959664,0.7035610193804005,-0.01597813496552103
EA,2000-05-01,1.7595701813297504,1.752560581979683,-1.7344605917134264,-0.2715809651386752,-0.6461284034503612,0.1460979822978682,-0.09460845358815802,2.4550133788633643,-0.05517522972250461,0.3508243879095941,-0.08346312382318674,0.5544057747673967,0.4321085466285796,0.6995272789491921,-0.007009599350067397
EA,2000-06-01,2.1356615177971827,2.1124591384531266,-1.6423675108757245,-0.2695930725678551,-0.6417414892872947,0.17528788813549212,-0.09666648650766972,2.45696213602931,0.11813734932601769,0.3412506489800923,-0.050850879036534194,0.5544057747673967,0.46122913462236226,0.7064056448675338,-0.023202379344056112
EA,2000-07-01,2.091713596138378,2.0906052888063438,-1.5365332731250598,-0.27805786635132845,-0.7136978165664362,0.1878781933219495,-0.08843676927146125,2.4574101895452514,0.03667091848372618,0.3367191494344964,-0.06969990031972398,0.5531735931942695,0.4973900954380023,0.7077887750226584,-0.001108307332034375
EA,2000-08-01,2.0490156689433547,2.058776765012234,-1.4604817025985253,-0.27666640308833423,-0.6714781883190407,0.2037345426537006,-0.088525645122071,2.4546665135880907,-0.12040439901690393,0.3261014500501522,-0.05322000449490578,0.5536197290180106,0.4818838866451037,0.7095469856969577,0.009761096068879205
