geo,date,I_official,I_recon,diff,abs_diff
EA,1997-01-01,72.42,72.42705892899679,0.007058928996784175,0.007058928996784175
EA,1997-02-01,72.59,72.58516201923092,-0.004837980769082151,0.004837980769082151
EA,1997-03-01,72.65,72.6465623192046,-0.0034376807954004107,0.0034376807954004107
EA,1997-04-01,72.6,72.6192118384411,0.019211838441108853,0.019211838441108853
EA,1997-05-01,72.8,72.82518782723027,0.025187827230269022,0.025187827230269022
EA,1997-06-01,72.83,72.83554320058828,0.005543200588277841,0.005543200588277841
EA,1997-07-01,72.9,72.90675217976795,0.006752179767943289,0.006752179767943289
EA,1997-08-01,73.02,73.0412044720993,0.02120447209929921,0.02120447209929921
EA,1997-09-01,73.07,73.09415557348399,0.024155573483994885,0.024155573483994885
EA,1997-10-01,73.09,73.10468578786688,0.014685787866881128,0.014685787866881128
EA,1997-11-01,73.18,73.20748620973221,0.027486209732202838,0.027486209732202838
EA,1997-12-01,73.26,73.28207105329908,0.02207105329907222,0.02207105329907222
EA,1998-01-01,73.2,73.19421399886456,-0.005786001135447805,0.005786001135447805
EA,1998-02-01,73.4,73.3837257426787,-0.0162742573212995,0.0162742573212995
EA,1998-03-01,73.46,73.45876656691513,-0.0012334330848631225,0.0012334330848631225
EA,1998-04-01,73.61,73.60360651230185,-0.006393487698147737,0.006393487698147737
EA,1998-05-01,73.76,73.75327964882212,-0.006720351177889938,0.006720351177889938
EA,1998-06-01,73.8,73.79589702812783,-0.004102971872171679,0.004102971872171679
EA,1998-07-01,73.83,73.81219351935297,-0.017806480647024614,0.017806480647024614
EA,1998-08-01,73.85,73.83023817778611,-0.01976182221388001,0.01976182221388001
EA,1998-09-01,73.79,73.8008347386932,0.01083473869319107,0.01083473869319107
EA,1998-10-01,73.77,73.76480399289217,-0.005196007107826972,0.005196007107826972
EA,1998-11-01,73.77,73.7702456024271,0.0002456024270998114,0.0002456024270998114
EA,1998-12-01,73.81,73.80442303081531,-0.005576969184687641,0.005576969184687641
EA,1999-01-01,73.76,73.75301721590704,-0.006982784092969041,0.006982784092969041
EA,1999-02-01,73.94,73.9534143238774,0.013414323877398715,0.013414323877398715
EA,1999-03-01,74.15,74.13627697924053,-0.013723020759471183,0.013723020759471183
EA,1999-04-01,74.4,74.40026740270334,0.0002674027033293669,0.0002674027033293669
EA,1999-05-01,74.45,74.44578825538657,-0.004211744613428436,0.004211744613428436
EA,1999-06-01,74.45,74.45339268858535,0.0033926885853503563,0.0033926885853503563
EA,1999-07-01,74.58,74.56448259448867,-0.015517405511332072,0.015517405511332072
EA,1999-08-01,74.67,74.65531367683778,-0.014686323162223403,0.014686323162223403
EA,1999-09-01,74.71,74.68457259960122,-0.025427400398768896,0.025427400398768896
EA,1999-10-01,74.74,74.73046465032373,-0.009535349676269789,0.009535349676269789
EA,1999-11-01,74.84,74.84103223968567,0.0010322396856707883,0.0010322396856707883
EA,1999-12-01,75.09,75.09337477295968,0.003374772959674033,0.003374772959674033
EA,2000-01-01,75.13,75.11425678399858,-0.015743216001411042,0.015743216001411042
EA,2000-02-01,75.37,75.36256777201127,-0.007432227988729778,0.007432227988729778
EA,2000-03-01,75.6,75.57869047507977,-0.021309524920226863,0.021309524920226863
EA,2000-04-01,75.67,75.65837967028901,-0.01162032971099336,0.01162032971099336
EA,2000-05-01,75.76,75.75056960867045,-0.00943039132955903,0.00943039132955903
EA,2000-06-01,76.04,76.0261185171637,-0.013881482836310965,0.013881482836310965
EA,2000-07-01,76.14,76.12365601888044,-0.01634398111956159,0.01634398111956159
EA,2000-08-01,76.2,76.19260228727242,-0.007397712727581052,0.007397712727581052
EA,2000-09-01,76.5,76.49433283270011,-0.005667167299890252,0.005667167299890252
EA,2000-10-01,76.52,76.51070839308467,-0.009291606915326156,0.009291606915326156
EA,2000-11-01,76.68,76.66152557096883,-0.01847442903117269,0.01847442903117269
EA,2000-12-01,76.96,76.94732726211564,-0.012672737884358298,0.012672737884358298
EA,2001-01-01,76.63,76.63608430478297,0.006084304782973504,0.006084304782973504
EA,2001-02-01,76.86,76.86699566505496,0.006995665054958522,0.006995665054958522
EA,2001-03-01,77.27,77.26293648705165,-0.007063512948349171,0.007063512948349171
EA,2001-04-01,77.73,77.73118635680042,0.001186356800417343,0.001186356800417343
EA,2001-05-01,78.1,78.0986213155065,-0.0013786844934884357,0.0013786844934884357
EA,2001-06-01,78.21,78.19916779757791,-0.010832202422079718,0.010832202422079718
EA,2001-07-01,78.03,78.0398358228077,0.009835822807701788,0.009835822807701788
EA,2001-08-01,77.97,77.96749925067984,-0.002500749320162754,0.002500749320162754
EA,2001-09-01,78.18,78.1806830049353,0.0006830049352970491,0.0006830049352970491
EA,2001-10-01,78.24,78.23914438198047,-0.0008556180195284924,0.0008556180195284924
EA,2001-11-01,78.19,78.18642536111436,-0.0035746388856381373,0.0035746388856381373
EA,2001-12-01,78.54,78.54446348801753,0.004463488017520945,0.004463488017520945
EA,2002-01-01,78.63,78.63247587850795,0.002475878507951279,0.002475878507951279
EA,2002-02-01,78.76,78.75640504552719,-0.0035949544728168803,0.0035949544728168803
EA,2002-03-01,79.21,79.19606398701829,-0.013936012981702106,0.013936012981702106
EA,2002-04-01,79.56,79.55307266916357,-0.006927330836433043,0.006927330836433043
EA,2002-05-01,79.71,79.70363980560636,-0.00636019439363622,0.00636019439363622
EA,2002-06-01,79.67,79.66918731843698,-0.0008126815630191686,0.0008126815630191686
